w_lya,w_SiIV,CIV,CIII,MgII
3384.35290958388,3892.2397797665694,4315.18642107076,5315.67092023801,7795.34076912744
3716.51616133512,4274.25047911818,4738.70796029224,5837.38676526874,8560.42816029456
2808.00121585464,3229.3954933104596,3580.3147723432803,4410.41782753878,6467.80254379632
2762.11333662732,3176.6212603302297,3521.8058760716403,4338.34352804439,6362.10681249816
4828.70696045244,5553.34677512091,6156.79607409388,7584.26141060563,11122.19004241272
3195.6445873575603,3675.21216528159,4074.5757012761205,5019.27412957687,7360.67992936728
4551.6587679264,5234.7222035496,5803.5484576928,7149.1126362728,10484.051784403198
2690.5793362500003,3094.3522153125,3430.5971412500003,4225.987867812501,6197.3391525
3000.8769180795603,3451.2158828520896,3826.23906967012,4713.36015918337,6912.0623078032795
4434.60559213776,5100.102960425639,5654.3009388315195,6965.26178522852,10214.437646114879
4579.90043391036,5267.20207155579,5839.55772056172,7193.47071789747,10549.10215477368
3731.4168861418802,4291.38734261607,4757.70698523676,5860.79075169151,8594.74970733144
3624.89898683952,4168.88439567228,4621.89236869104,5693.48724791004,8349.40197166176
4815.42361922076,5538.0700145313895,6139.85927842252,7563.39778538827,11091.59389176888
4634.11630910904,5329.55407555206,5908.68514749208,7278.62547536758,10673.98015466352
3605.7702792306,4146.885059704649,4597.5024951962005,5663.44253404745,8305.3419110628
2474.68586068236,2846.0597953887896,3155.32425480572,3886.89241866647,5700.06145810968
4729.13305066644,5438.829896104409,6029.8353241718805,7427.86455992113,10892.83672754472
3677.57991426852,4229.47110363453,4689.06267532404,5776.23112287429,8470.74445346376
3376.76345141772,3883.5113782758294,4305.5095558924395,5303.75045474519,7777.859609733359
3373.38369762888,3879.62442780282,4301.20023353576,5298.44200748426,7770.074862337439
4642.882159698121,5339.63540964393,5919.861960443241,7292.39365448849,10694.17095458856
4159.82150474904,4784.082266262059,5303.94014777208,6533.669152397581,9581.51440898352
3965.7227181499197,4560.855245147879,5056.45636855184,6228.80576990084,9134.437456656959
4311.89654720604,4958.9790768413095,5497.841958761081,6772.52748144283,9931.79607584952
2564.25952283592,2949.07569838938,3269.53428577384,4027.5822710103403,5906.38072772496
2942.4941769288002,3384.0716949882,3751.7987206376,4621.6606681226,6777.5865676943995
3565.3032283627203,4100.34515403708,4545.905373657441,5599.8825179164405,8212.13223114336
3835.49117842176,4411.07997257664,4890.40590429952,6024.256177371521,8834.46896690688
4577.9890145106,5265.00380712465,5837.1205837562,7190.46852610745,10544.6994917028
2957.41787949348,3401.23498449597,3770.8270431499604,4645.10074481221,6811.9610404922405
3156.2640023678396,3629.9217704727594,4024.3638675396796,4957.42058296268,7269.972757897919
2582.12121757512,2969.61788197818,3292.30866677224,4055.63693724874,5947.52241741456
3185.4273622688397,3663.4616501930095,4061.5483273166797,5003.2263332209295,7337.146109635919
4766.98039408344,5482.356957123659,6078.09221308088,7487.30990388638,10980.01231089072
3819.57551433276,4392.77585874939,4870.1127908465205,5999.258065462271,8797.80966202488
4241.54927122212,4878.0748469049295,5408.14634539124,6662.03576286149,9769.76185450056
2552.07001426728,2935.05692097042,3253.9921708525603,4008.43668603106,5878.30405379664
